Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Year,Category
Sterling Shepard,NYG,25,WR,16,16,107,66,61.7%,872,13.2,4,47,58,8.1,4.1,54.5,1,2018,receiving
Dede Westbrook,JAX,25,wr,16,9,101,66,65.3%,717,10.9,5,40,61,7.1,4.1,44.8,3,2018,receiving
Cole Beasley,DAL,29,,16,4,87,65,74.7%,672,10.3,3,42,32,7.7,4.1,42.0,0,2018,receiving
Corey Davis,TEN,23,WR,16,16,112,65,58.0%,891,13.7,4,47,51,8.0,4.1,55.7,1,2018,receiving
Alshon Jeffery,PHI,28,WR,13,13,92,65,70.7%,843,13.0,6,56,52,9.2,5.0,64.8,1,2018,receiving
Nelson Agholor,PHI,25,WR,16,16,97,64,66.0%,736,11.5,4,31,83,7.6,4.0,46.0,1,2018,receiving
Calvin Ridley,ATL,24,wr,16,5,92,64,69.6%,821,12.8,10,39,75,8.9,4.0,51.3,2,2018,receiving
Kyle Rudolph,MIN,29,TE,16,16,82,64,78.0%,634,9.9,4,32,44,7.7,4.0,39.6,0,2018,receiving
Nyheim Hines,IND,22,,16,4,81,63,77.8%,425,6.7,2,29,28,5.2,3.9,26.6,1,2018,receiving
Jordy Nelson,OAK,33,WR,15,14,88,63,71.6%,739,11.7,3,36,66,8.4,4.2,49.3,1,2018,receiving
Willie Snead,BAL,26,wr,16,10,95,62,65.3%,651,10.5,1,39,28,6.9,3.9,40.7,0,2018,receiving
Theo Riddick,DET,27,,14,3,74,61,82.4%,384,6.3,0,16,20,5.2,4.4,27.4,0,2018,receiving
Danny Amendola,MIA,33,WR,15,15,79,59,74.7%,575,9.7,1,27,39,7.3,3.9,38.3,2,2018,receiving
Chris Godwin,TAM,22,wr,16,5,95,59,62.1%,842,14.3,7,48,48,8.9,3.7,52.6,4,2018,receiving
Todd Gurley*+,LAR,24,RB,14,14,81,59,72.8%,580,9.8,4,27,56,7.2,4.2,41.4,1,2018,receiving
Dion Lewis,TEN,28,rb,16,7,67,59,88.1%,400,6.8,1,13,37,6.0,3.7,25.0,1,2018,receiving
Demaryius Thomas,2TM,31,,15,15,89,59,66.3%,677,11.5,5,36,45,7.6,3.9,45.1,0,2018,receiving
Tyler Lockett,SEA,26,WR,16,14,70,57,81.4%,965,16.9,10,40,52,13.8,3.6,60.3,2,2018,receiving
