Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Year,Category
David Blough,DET,24,qb,5,5,1,1,100.0%,19,19.0,1,1,19,19.0,0.2,3.8,1,2019,receiving
Garrett Bradbury,MIN,24,C,16,16,1,1,100.0%,-4,-4.0,0,0,-4,-4.0,0.1,-0.3,0,2019,receiving
Jacoby Brissett,IND,27,QB,15,15,1,1,100.0%,2,2.0,0,0,2,2.0,0.1,0.1,7,2019,receiving
Ventell Bryant,DAL,23,,12,0,1,1,100.0%,15,15.0,1,1,15,15.0,0.1,1.3,0,2019,receiving
Kevin Byard,TEN,26,FS,16,16,1,1,100.0%,11,11.0,0,1,11,11.0,0.1,0.7,0,2019,receiving
Austin Carr,NOR,26,,6,3,4,1,25.0%,9,9.0,0,1,9,2.3,0.2,1.5,0,2019,receiving
Sean Culkin,LAC,26,,4,2,2,1,50.0%,12,12.0,0,1,12,6.0,0.3,3.0,0,2019,receiving
Andy Dalton,CIN,32,QB,13,13,1,1,100.0%,-4,-4.0,0,0,-4,-4.0,0.1,-0.3,8,2019,receiving
Darrell Daniels,ARI,25,,11,0,3,1,33.3%,4,4.0,0,1,4,1.3,0.1,0.4,0,2019,receiving
Cody Davis,JAX,30,,16,0,1,1,100.0%,7,7.0,0,1,7,7.0,0.1,0.4,0,2019,receiving
Rashard Davis,TEN,24,,1,0,1,1,100.0%,16,16.0,0,1,16,16.0,1.0,16.0,0,2019,receiving
Dion Dawkins,BUF,25,LT,16,16,1,1,100.0%,1,1.0,1,1,1,1.0,0.1,0.1,0,2019,receiving
Michael Deiter,MIA,23,LG,16,15,1,1,100.0%,0,0.0,0,0,0,0.0,0.1,0.0,0,2019,receiving
,,,,,,,,,,,,,,,,,,2019,receiving
Jeff Driskel,DET,26,/qb,3,3,1,1,100.0%,6,6.0,0,0,6,6.0,0.3,2.0,1,2019,receiving
Quincy Enunwa,NYJ,27,,1,1,3,1,33.3%,-4,-4.0,0,0,8,-1.3,1.0,-4.0,1,2019,receiving
Zach Gentry,PIT,23,,4,0,1,1,100.0%,4,4.0,0,1,4,4.0,0.3,1.0,0,2019,receiving
Cyril Grayson,TAM,26,,2,0,1,1,100.0%,3,3.0,0,0,3,3.0,0.5,1.5,0,2019,receiving
Xavier Grimble,PIT,27,,3,1,3,1,33.3%,3,3.0,0,0,3,1.0,0.3,1.0,0,2019,receiving
Dwayne Harris,OAK,32,,3,0,1,1,100.0%,7,7.0,0,0,7,7.0,0.3,2.3,0,2019,receiving
Chris Herndon,NYJ,23,,1,0,2,1,50.0%,7,7.0,0,0,7,3.5,1.0,7.0,0,2019,receiving
Krishawn Hogan,NOR,24,,8,0,1,1,100.0%,4,4.0,0,0,4,4.0,0.1,0.5,0,2019,receiving
Jakob Johnson,NWE,25,FB,4,3,2,1,50.0%,5,5.0,0,0,5,2.5,0.3,1.3,0,2019,receiving
Charles Jones,JAX,23,,4,0,1,1,100.0%,5,5.0,0,0,5,5.0,0.3,1.3,0,2019,receiving
Taiwan Jones,HOU,31,,11,0,1,1,100.0%,9,9.0,0,0,9,9.0,0.1,0.8,0,2019,receiving
Dennis Kelly,TEN,29,,15,4,1,1,100.0%,1,1.0,1,1,1,1.0,0.1,0.1,0,2019,receiving
Ben Koyack,JAX,26,te,11,6,3,1,33.3%,9,9.0,0,0,9,3.0,0.1,0.8,0,2019,receiving
Chris Manhertz,CAR,27,te,15,6,1,1,100.0%,11,11.0,0,1,11,11.0,0.1,0.7,0,2019,receiving
Codey McElroy,TAM,27,,1,0,1,1,100.0%,30,30.0,0,1,30,30.0,1.0,30.0,0,2019,receiving
Kaleb McGary,ATL,24,RT,16,16,1,1,100.0%,-3,-3.0,0,0,-3,-3.0,0.1,-0.2,0,2019,receiving
Qadree Ollison,ATL,23,,8,0,2,1,50.0%,7,7.0,0,1,7,3.5,0.1,0.9,1,2019,receiving
Ricky Ortiz,NOR,25,,1,0,1,1,100.0%,8,8.0,0,0,8,8.0,1.0,8.0,0,2019,receiving
Paul Perkins,DET,25,,4,0,1,1,100.0%,9,9.0,0,0,9,9.0,0.3,2.3,0,2019,receiving
Senorise Perry,BUF,28,,11,0,1,1,100.0%,1,1.0,0,0,1,1.0,0.1,0.1,0,2019,receiving
David Quessenberry,TEN,29,,4,0,1,1,100.0%,1,1.0,1,1,1,1.0,0.3,0.3,0,2019,receiving
Elandon Roberts,NWE,25,/il,16,3,1,1,100.0%,38,38.0,1,1,38,38.0,0.1,2.4,0,2019,receiving
Ty Sambrailo,ATL,27,,13,0,1,1,100.0%,35,35.0,1,1,35,35.0,0.1,2.7,0,2019,receiving
Jason Sanders,MIA,24,,16,0,1,1,100.0%,1,1.0,1,1,1,1.0,0.1,0.1,0,2019,receiving
Bo Scarbrough,DET,25,rb,6,5,4,1,25.0%,5,5.0,0,0,5,1.3,0.2,0.8,1,2019,receiving
Dalton Schultz,DAL,23,,16,0,2,1,50.0%,6,6.0,0,0,6,3.0,0.1,0.4,0,2019,receiving
Jaleel Scott,BAL,24,,3,0,3,1,33.3%,6,6.0,0,0,6,2.0,0.3,2.0,0,2019,receiving
Nick Scott,LAR,24,,16,0,1,1,100.0%,23,23.0,0,1,23,23.0,0.1,1.4,0,2019,receiving
Darrius Shepherd ,GNB,24,,6,0,2,1,50.0%,1,1.0,0,0,1,0.5,0.2,0.2,1,2019,receiving
Jeff Smith,NYJ,22,,1,0,2,1,50.0%,12,12.0,0,1,12,6.0,1.0,12.0,0,2019,receiving
,,,,,,,,,,,,,,,,,,2019,receiving
Keith Smith,ATL,27,fb,16,5,3,1,33.3%,13,13.0,0,1,13,4.3,0.1,0.8,0,2019,receiving
Tyrone Swoopes,SEA,25,,5,2,1,1,100.0%,5,5.0,0,0,5,5.0,0.2,1.0,0,2019,receiving
Wyatt Teller,CLE,25,RG,15,9,1,1,100.0%,-5,-5.0,0,0,-5,-5.0,0.1,-0.3,0,2019,receiving
De'Anthony Thomas,2TM,26,,14,0,2,1,50.0%,6,6.0,0,0,6,3.0,0.1,0.4,3,2019,receiving
Jordan Thomas,HOU,23,,5,2,3,1,33.3%,8,8.0,0,0,8,2.7,0.2,1.6,0,2019,receiving
Eric Tomlinson,3TM,27,,8,3,1,1,100.0%,1,1.0,0,0,1,1.0,0.1,0.1,0,2019,receiving
John Ursua,SEA,25,,3,0,1,1,100.0%,11,11.0,0,1,11,11.0,0.3,3.7,0,2019,receiving
Vita Vea,TAM,24,NT,16,16,1,1,100.0%,1,1.0,1,1,1,1.0,0.1,0.1,0,2019,receiving
Dwayne Washington,NOR,25,,16,0,1,1,100.0%,6,6.0,0,0,6,6.0,0.1,0.4,0,2019,receiving
Deshaun Watson*,HOU,24,QB,15,15,1,1,100.0%,6,6.0,1,1,6,6.0,0.1,0.4,10,2019,receiving
Kerrith Whyte Jr,PIT,23,,6,0,1,1,100.0%,9,9.0,0,1,9,9.0,0.2,1.5,0,2019,receiving
Christian Wilkins,MIA,24,RDE,16,14,1,1,100.0%,1,1.0,1,1,1,1.0,0.1,0.1,1,2019,receiving
