Player ID,G,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,RS,PW
grayj002,115.0,0.0,0.0,0.0,35.0,1.0,140.2,160.0,636.0,18.0,82.0,78.0,53.0,3.0,76.0,4.0,4.0,8.0,9.0,1.0,30.0,6.0,15.0,14.0,7.0,3.0,4.99,0,-1.4
grayj003,123.0,122.0,1.0,1.0,1.0,0.0,680.1,690.0,2912.0,84.0,368.0,347.0,222.0,9.0,692.0,20.0,18.0,28.0,28.0,4.0,138.0,21.0,53.0,29.0,45.0,37.0,4.59,5.21,1.7
grayj101,48.0,24.0,6.0,1.0,8.0,0.0,169.0,172.0,793.0,16.0,132.0,116.0,142.0,7.0,75.0,14.0,2.0,6.0,1.0,0.0,21.0,5.0,21.0,14.0,4.0,18.0,6.18,3.17,-5.5
grays001,197.0,188.0,6.0,4.0,2.0,0.0,1132.0,978.0,4711.0,108.0,494.0,445.0,403.0,4.0,1066.0,17.0,31.0,79.0,31.0,4.0,181.0,12.0,88.0,53.0,75.0,63.0,3.54,4.49,7.4
grayt101,222.0,162.0,50.0,7.0,32.0,4.0,1134.0,1072.0,4987.0,114.0,624.0,550.0,595.0,32.0,687.0,88.0,7.0,28.0,28.0,2.0,186.0,42.0,78.0,65.0,59.0,74.0,4.37,4.15,-5.5
grbae101,135.0,75.0,10.0,0.0,26.0,4.0,536.1,513.0,2387.0,62.0,318.0,267.0,284.0,19.0,255.0,24.0,18.0,15.0,12.0,3.0,75.0,13.0,54.0,55.0,28.0,33.0,4.48,4.81,-2.7
greeb103,12.0,4.0,0.0,0.0,4.0,0.0,39.0,35.0,169.0,3.0,20.0,17.0,18.0,1.0,9.0,2.0,1.0,1.0,0.0,0.0,10.0,2.0,2.0,4.0,1.0,2.0,3.92,4.5,0.1
greec003,191.0,24.0,0.0,0.0,26.0,4.0,285.0,226.0,1144.0,40.0,110.0,101.0,74.0,4.0,379.0,4.0,9.0,12.0,10.0,0.0,47.0,2.0,12.0,8.0,22.0,14.0,3.19,5.83,3.5
greed101,185.0,46.0,12.0,2.0,55.0,4.0,562.1,647.0,2460.0,46.0,298.0,266.0,197.0,27.0,268.0,31.0,18.0,19.0,14.0,4.0,93.0,17.0,53.0,33.0,20.0,22.0,4.26,3.96,-1.8
greef101,88.0,1.0,0.0,0.0,30.0,4.0,142.1,142.0,624.0,12.0,65.0,55.0,63.0,19.0,77.0,16.0,7.0,5.0,1.0,0.0,16.0,5.0,10.0,17.0,9.0,7.0,3.48,0.0,0.8
greek001,9.0,0.0,0.0,0.0,2.0,0.0,13.0,15.0,64.0,3.0,12.0,7.0,5.0,2.0,9.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,5.0,1.0,2.0,4.85,0,-0.4
green002,20.0,1.0,0.0,0.0,9.0,0.0,36.0,38.0,147.0,6.0,21.0,21.0,5.0,1.0,17.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,4.0,0.0,2.0,2.0,5.25,1.0,-0.5
grees004,264.0,0.0,0.0,0.0,56.0,2.0,269.2,276.0,1221.0,13.0,145.0,132.0,133.0,17.0,203.0,13.0,13.0,18.0,24.0,2.0,60.0,6.0,30.0,23.0,10.0,12.0,4.41,0,-0.5
grees005,313.0,33.0,0.0,0.0,132.0,66.0,444.0,428.0,1897.0,52.0,235.0,216.0,157.0,12.0,413.0,6.0,13.0,6.0,28.0,0.0,64.0,15.0,42.0,21.0,23.0,28.0,4.38,4.21,-1.6
greet001,119.0,97.0,11.0,5.0,7.0,0.0,628.0,591.0,2690.0,62.0,310.0,289.0,241.0,11.0,461.0,35.0,26.0,32.0,10.0,2.0,120.0,13.0,32.0,35.0,38.0,25.0,4.14,4.77,-0.4
greet002,70.0,68.0,4.0,2.0,1.0,0.0,384.0,387.0,1703.0,47.0,242.0,220.0,201.0,8.0,263.0,10.0,15.0,26.0,14.0,2.0,74.0,6.0,37.0,28.0,18.0,25.0,5.16,4.88,-3.5
gregk001,594.0,8.0,0.0,0.0,382.0,177.0,720.1,673.0,3144.0,78.0,365.0,339.0,329.0,21.0,661.0,21.0,19.0,52.0,29.0,1.0,113.0,22.0,51.0,42.0,30.0,46.0,4.24,3.75,2.0
gregl001,646.0,0.0,0.0,0.0,174.0,66.0,617.1,503.0,2518.0,54.0,238.0,216.0,177.0,30.0,621.0,24.0,8.0,30.0,18.0,2.0,108.0,9.0,40.0,28.0,35.0,36.0,3.15,0,6.5
greib101,231.0,97.0,18.0,5.0,67.0,19.0,715.2,747.0,3153.0,70.0,402.0,351.0,287.0,49.0,442.0,54.0,33.0,26.0,36.0,5.0,110.0,28.0,39.0,50.0,31.0,67.0,4.41,3.32,-11.2
greis001,42.0,39.0,0.0,0.0,1.0,0.0,223.2,263.0,984.0,34.0,147.0,137.0,77.0,5.0,118.0,4.0,8.0,4.0,7.0,0.0,50.0,6.0,19.0,10.0,10.0,16.0,5.51,3.74,-2.2
greiz001,500.0,459.0,16.0,5.0,8.0,1.0,2939.0,2728.0,12002.0,298.0,1181.0,1100.0,676.0,25.0,2689.0,79.0,49.0,89.0,70.0,6.0,559.0,65.0,224.0,114.0,208.0,126.0,3.37,4.34,36.3
grifa002,88.0,85.0,2.0,2.0,2.0,0.0,478.2,437.0,2006.0,94.0,240.0,231.0,147.0,3.0,403.0,4.0,13.0,9.0,18.0,1.0,73.0,6.0,24.0,15.0,34.0,21.0,4.34,5.32,-0.8
grifj001,10.0,7.0,0.0,0.0,1.0,0.0,45.1,61.0,219.0,6.0,39.0,37.0,22.0,2.0,30.0,4.0,0.0,1.0,2.0,0.0,9.0,3.0,4.0,3.0,1.0,4.0,7.35,4.86,-1.5
grift101,401.0,191.0,29.0,10.0,53.0,5.0,1494.2,1407.0,6576.0,133.0,762.0,676.0,769.0,66.0,1054.0,78.0,37.0,81.0,52.0,20.0,259.0,35.0,103.0,106.0,77.0,94.0,4.07,4.1,-11.2
grigh101,105.0,45.0,6.0,1.0,24.0,3.0,347.0,372.0,1590.0,43.0,241.0,212.0,209.0,7.0,172.0,16.0,14.0,19.0,4.0,0.0,64.0,13.0,41.0,31.0,6.0,26.0,5.5,3.29,-5.4
grilj001,595.0,16.0,1.0,0.0,199.0,79.0,684.2,644.0,2969.0,76.0,339.0,321.0,292.0,26.0,694.0,21.0,23.0,29.0,34.0,0.0,123.0,25.0,47.0,25.0,34.0,47.0,4.22,5.62,0.6
grils101,70.0,2.0,0.0,0.0,40.0,3.0,147.2,138.0,664.0,13.0,87.0,74.0,96.0,8.0,91.0,12.0,7.0,11.0,8.0,2.0,24.0,7.0,13.0,8.0,4.0,3.0,4.51,3.0,-0.4
grimb102,268.0,60.0,18.0,4.0,120.0,38.0,759.2,708.0,3234.0,50.0,346.0,305.0,330.0,27.0,443.0,44.0,32.0,13.0,15.0,0.0,107.0,26.0,82.0,50.0,61.0,41.0,3.61,5.13,1.0
grimj001,552.0,72.0,3.0,1.0,127.0,4.0,936.2,954.0,4208.0,83.0,549.0,496.0,498.0,46.0,622.0,36.0,29.0,96.0,47.0,2.0,178.0,23.0,110.0,68.0,42.0,58.0,4.77,4.74,-0.8
grimj002,310.0,19.0,0.0,0.0,67.0,4.0,360.2,354.0,1570.0,48.0,221.0,206.0,158.0,7.0,367.0,8.0,14.0,35.0,9.0,1.0,72.0,3.0,23.0,14.0,20.0,23.0,5.14,5.05,-4.9
grism101,356.0,52.0,12.0,3.0,176.0,57.0,810.0,771.0,3484.0,65.0,358.0,307.0,343.0,47.0,459.0,67.0,11.0,23.0,28.0,1.0,103.0,30.0,66.0,56.0,47.0,45.0,3.41,4.67,3.9
groms101,447.0,225.0,92.0,17.0,110.0,23.0,2064.2,1940.0,8676.0,186.0,893.0,782.0,630.0,70.0,904.0,117.0,20.0,18.0,68.0,3.0,351.0,62.0,128.0,115.0,123.0,108.0,3.41,4.22,8.1
groob001,786.0,15.0,0.0,0.0,195.0,27.0,734.2,825.0,3226.0,73.0,403.0,379.0,260.0,36.0,494.0,19.0,30.0,20.0,21.0,4.0,133.0,19.0,75.0,46.0,31.0,32.0,4.64,4.2,-1.2
grosd101,145.0,37.0,9.0,1.0,55.0,10.0,398.0,400.0,1689.0,45.0,188.0,165.0,117.0,15.0,230.0,21.0,11.0,6.0,7.0,0.0,75.0,11.0,37.0,28.0,20.0,22.0,3.73,4.81,0.0
grosk001,474.0,368.0,42.0,14.0,38.0,5.0,2487.2,2519.0,10791.0,230.0,1245.0,1137.0,986.0,76.0,1727.0,104.0,70.0,53.0,79.0,35.0,401.0,76.0,158.0,136.0,142.0,158.0,4.11,4.04,-3.0
grosk002,73.0,12.0,1.0,0.0,22.0,0.0,147.2,168.0,661.0,14.0,80.0,64.0,66.0,5.0,81.0,7.0,4.0,7.0,3.0,2.0,23.0,2.0,18.0,14.0,7.0,8.0,3.9,5.58,-0.9
grotz001,19.0,0.0,0.0,0.0,5.0,0.0,24.2,25.0,119.0,4.0,21.0,20.0,19.0,1.0,22.0,0.0,2.0,7.0,5.0,0.0,5.0,0.0,3.0,0.0,1.0,0.0,7.3,0,-0.4
gruna101,9.0,1.0,0.0,0.0,4.0,1.0,19.0,25.0,98.0,2.0,18.0,14.0,18.0,1.0,11.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,2.0,0.0,1.0,6.63,4.0,-0.6
grunk001,3.0,0.0,0.0,0.0,0.0,0.0,3.1,6.0,16.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,10.8,0,-0.1
grybk001,238.0,0.0,0.0,0.0,39.0,2.0,183.1,203.0,835.0,15.0,100.0,83.0,105.0,20.0,103.0,11.0,2.0,11.0,11.0,0.0,24.0,7.0,30.0,13.0,12.0,8.0,4.07,0,-0.5
grzej101,219.0,3.0,0.0,0.0,77.0,14.0,308.0,323.0,1329.0,20.0,150.0,137.0,120.0,38.0,173.0,20.0,11.0,22.0,10.0,4.0,55.0,11.0,36.0,15.0,14.0,13.0,4.0,7.33,-1.1
gselr001,159.0,33.0,1.0,0.0,34.0,14.0,322.0,342.0,1427.0,37.0,192.0,167.0,116.0,13.0,263.0,12.0,12.0,12.0,21.0,0.0,75.0,7.0,28.0,31.0,20.0,15.0,4.67,5.12,-2.6
guaim001,26.0,0.0,0.0,0.0,2.0,0.0,34.0,42.0,155.0,5.0,25.0,20.0,17.0,1.0,27.0,1.0,2.0,1.0,3.0,0.0,5.0,1.0,4.0,4.0,0.0,3.0,5.29,0,-0.7
guanc001,363.0,1.0,0.0,0.0,164.0,35.0,595.0,512.0,2519.0,61.0,256.0,230.0,236.0,38.0,503.0,21.0,25.0,14.0,27.0,5.0,104.0,15.0,29.0,33.0,29.0,34.0,3.48,3.0,2.4
guare001,908.0,25.0,0.0,0.0,401.0,187.0,944.2,894.0,4011.0,138.0,476.0,452.0,348.0,39.0,798.0,45.0,38.0,25.0,16.0,2.0,198.0,17.0,51.0,28.0,46.0,61.0,4.31,3.56,8.0
gubim001,384.0,329.0,42.0,16.0,14.0,2.0,2223.1,2239.0,9487.0,155.0,1063.0,978.0,786.0,39.0,1371.0,65.0,82.0,107.0,58.0,11.0,395.0,58.0,214.0,102.0,132.0,136.0,3.96,4.37,9.9
gudur001,32.0,0.0,0.0,0.0,8.0,0.0,24.2,33.0,121.0,5.0,22.0,22.0,16.0,0.0,26.0,0.0,1.0,3.0,0.0,0.0,7.0,0.0,1.0,1.0,1.0,0.0,8.03,0,-1.0
guerd001,83.0,0.0,0.0,0.0,25.0,0.0,103.0,112.0,441.0,19.0,61.0,55.0,24.0,0.0,83.0,1.0,3.0,6.0,5.0,1.0,26.0,0.0,6.0,3.0,8.0,5.0,4.81,0,-1.3
