Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Year,Category
Cre'von LeBlanc,CHI,22,RCB,13,9,2,24,1,24,10,,,,,,0.0,44,40,4,0,1,,2016,defense
Briean Boddy-Calhoun,CLE,23,ss,14,6,3,94,1,67,11,0,1,0,0,0,1.0,43,39,4,2,1,,2016,defense
Marcus Gilchrist,NYJ,28,FS,13,13,2,25,0,25,3,1,0,0,0,0,0.0,55,39,16,1,0,,2016,defense
James Harrison,PIT,38,ROLB,15,7,1,0,0,0,1,2,0,0,0,0,5.0,53,39,14,9,9,,2016,defense
Anthony Hitchens,DAL,24,MLB,16,16,0,0,0,0,1,,,,,,1.5,78,39,39,4,5,,2016,defense
Quinten Rollins,GNB,24,db,13,10,1,0,0,0,8,,,,,,0.0,41,39,2,0,1,,2016,defense
Orlando Scandrick,DAL,29,DB,12,10,1,0,0,0,8,3,0,0,0,0,2.0,46,39,7,2,2,,2016,defense
Buster Skrine,NYJ,27,LCB,14,14,1,51,0,51,6,0,1,0,0,0,1.0,47,39,8,1,1,,2016,defense
Shaq Thompson,CAR,22,LLB,14,12,1,12,0,12,5,0,0,2,9,1,0.0,56,39,17,4,2,,2016,defense
Maurice Alexander,LAR,25,FS,14,14,2,19,0,19,4,,,,,,1.0,50,38,12,1,1,,2016,defense
Tre Boston,CAR,24,FS,15,10,2,29,0,22,7,,,,,,2.0,53,38,15,5,4,,2016,defense
Quintin Demps,HOU,31,SS,13,13,6,54,0,19,9,1,0,0,0,0,0.0,55,38,17,1,1,,2016,defense
Chandler Jones,ARI,26,LOLB,16,16,0,0,0,0,3,4,0,2,0,0,11.0,49,38,11,15,21,,2016,defense
Brian Orakpo*,TEN,30,ROLB,16,16,0,0,0,0,4,1,0,0,0,0,10.5,46,38,8,13,19,,2016,defense
Sheldon Richardson,NYJ,26,LOLB,15,14,0,0,0,0,2,1,0,2,0,0,1.5,62,38,24,13,9,,2016,defense
Josh Shaw,CIN,24,db,16,12,1,0,0,0,3,,,,,,0.0,56,38,18,0,0,,2016,defense
